id,nhom_hang,stt,ten,xuat_xu,quy_cach,dvt,don_gia,anh
184,"Bút, thước, tẩy",1,Thước mica 20cm,Trung Quốc,20cm,chiếc,3000,but-thuoc-tay_0184.webp
185,"Bút, thước, tẩy",2,Thước mica 30cm,Trung Quốc,30cm,cái,4500,but-thuoc-tay_0185.webp
186,"Bút, thước, tẩy",3,Thước mica 20 cm Deli 6220,Đài loan,20cm,chiếc,7500,but-thuoc-tay_0186.webp
187,"Bút, thước, tẩy",4,Thước mica 30 cm Deli 6230,Đài loan,30cm,chiếc,11000,but-thuoc-tay_0187.webp
188,"Bút, thước, tẩy",5,Thước mica 50cm Deli 6250,Đài loan,50cm,chiếc,19000,
189,"Bút, thước, tẩy",6,Thước mica 50cm Deli 6260,Đài loan,60cm,chiếc,30000,
190,"hồ sơ, P.bì",1,Túi 1 khuy bấm khổ A trung,Việt nam,Khổ A,chiếc,2200,ho-so-p-bi_0190.webp
191,"hồ sơ, P.bì",2,Túi 1 khuy bấm khổ A dày,Việt nam,Khổ A,chiếc,3000,ho-so-p-bi_0191.webp
192,"hồ sơ, P.bì",3,Túi 1 khuy bấm khổ F dày,Việt nam,Khổ F,chiếc,4000,ho-so-p-bi_0192.webp
193,"hồ sơ, P.bì",4,Túi 11 lỗ A4 HQ303A Loại Mỏng,Trung Quốc,100chiếc/tập,chiếc,350,ho-so-p-bi_0193.webp
194,"hồ sơ, P.bì",5,Túi sơ mi 11 lỗ Deli 20002,Trung Quốc,100chiếc/tập,chiếc,500,ho-so-p-bi_0194.webp
195,"hồ sơ, P.bì",6,Túi sơmi 11 lỗ Flexoffice CS03 ( 100 chiếc/ tập)- Dày,Việt nam,100chiếc/tập,chiếc,800,ho-so-p-bi_0195.webp
196,"hồ sơ, P.bì",7,Túi Plus RE - 141PP ( 11 lỗ ) Loại A1 dày 70MF,Việt Nhật,Khổ A,chiếc,1400,ho-so-p-bi_0196.webp
197,"hồ sơ, P.bì",8,Túi 1 Khuy khổ A4 Plus CB 2333,Việt Nhật,Khổ A,chiếc,5500,ho-so-p-bi_0197.webp
198,"hồ sơ, P.bì",9,Túi 1 khuy Khổ F Plus CB 2636,Việt Nhật,Khổ F,chiếc,6500,ho-so-p-bi_0198.webp
199,"hồ sơ, P.bì",9,Túi hồ sơ nhựa F118,Trung Quốc,Khổ A,chiếc,5500,ho-so-p-bi_0199.webp
200,"hồ sơ, P.bì",10,Túi hồ sơ nhựa F119,Trung Quốc,Khổ F,chiếc,6500,ho-so-p-bi_0200.webp
201,"hồ sơ, P.bì",1,Cặp tài liệu 1 ngăn 2 khuy deli 5576,Đài Loan,Khổ A,chiếc,30000,ho-so-p-bi_0201.webp
202,"hồ sơ, P.bì",2,Cặp xốp chun nhiều ngăn F8214,Trung Quốc,Khổ A,chiếc,37000,ho-so-p-bi_0202.webp
203,"hồ sơ, P.bì",3,Cặp xốp chun 6 ngăn Deli 5554,Đài Loan,Khổ A,chiếc,75000,ho-so-p-bi_0203.webp
204,"hồ sơ, P.bì",4,Cặp tài liệu có quai deli 5556( sần),Đài Loan,Khổ A,chiếc,105000,ho-so-p-bi_0204.webp
205,"hồ sơ, P.bì",5,Cặp tài liệu có quai deli 5557( bóng),Đài Loan,Khổ A,chiếc,95000,ho-so-p-bi_0205.webp
206,"hồ sơ, P.bì",1,Phong bì thư nhỏ( Bưu điện),Việt nam,ĐL70,chiếc,250,ho-so-p-bi_0206.webp
207,"hồ sơ, P.bì",2,Phong bì trắng A6,Việt nam,ĐL100,chiếc,350,ho-so-p-bi_0207.webp
208,"hồ sơ, P.bì",3,Phong bì trắng A5,Việt nam,ĐL100,chiếc,500,ho-so-p-bi_0208.webp
209,"hồ sơ, P.bì",4,Phong bì trắng A4,Việt nam,ĐL100,chiếc,1300,ho-so-p-bi_0209.webp
210,"hồ sơ, P.bì",5,Phong bì A4 ngoại trắng có đáy có dây,Việt nam,ĐL120,chiếc,4500,ho-so-p-bi_0210.webp
211,"hồ sơ, P.bì",6,Phong bì A4 Trắng ngoại không đáy có dây,Việt nam,ĐL120,chiếc,2600,ho-so-p-bi_0211.webp
212,"hồ sơ, P.bì",7,Phong bì A4 xi măng có đáy có dây,Việt nam,ĐL120,chiếc,4000,ho-so-p-bi_0212.webp
213,"hồ sơ, P.bì",8,Phong bì A4 xi măng không đáy có dây,Việt nam,ĐL120,chiếc,3000,ho-so-p-bi_0213.webp
214,"hồ sơ, P.bì",9,Bộ hồ sơ A4 xin việc,Việt nam,ĐL120,bộ,10000,
215,"hồ sơ, P.bì",10,Vỏ hồ sơ xin việc,Việt nam,ĐL120,chiếc,3500,
216,"hồ sơ, P.bì",11,Phong bì A3 xi măng có đáy có dây,Việt nam,ĐL120,chiếc,7500,
217,File tài liệu,1,Chia FILE nhựa 10 màu,Việt Nam,10bộ/tập,Bộ,10000,file-tai-lieu_0217.webp
218,File tài liệu,2,Chia FILE giấy 10 màu,Việt Nam,5bộ/tập,Bộ,10000,file-tai-lieu_0218.webp
219,File tài liệu,3,Chia File nhựa 12 màu,Việt nam,10bộ/tập,Bộ,12000,file-tai-lieu_0219.webp
220,File tài liệu,4,Chia FILE giấy 12 số,Việt nam,10bộ/tập,Bộ,12000,file-tai-lieu_0220.webp
221,File tài liệu,5,Chia File giấy 16 màu,Việt nam,1bộ/tập,Bộ,18000,file-tai-lieu_0221.webp
222,File tài liệu,6,Chia File nhựa 1 màu 12 số,Việt nam,1bộ/tập,Bộ,22000,file-tai-lieu_0222.webp
223,File tài liệu,7,Chia File giấy 31số,Việt nam,1bộ/tập,Bộ,36000,file-tai-lieu_0223.webp
224,File tài liệu,8,Chia File nhựa 31 số,Việt nam,1bộ/tập,Bộ,40000,file-tai-lieu_0224.webp
225,File tài liệu,9,Chia File nhựa A - Z,Việt nam,1bộ/ tập,Bộ,40000,file-tai-lieu_0225.webp
226,File tài liệu,10,Chia File giấy A - Z,Việt nam,1bộ/ tập,Bộ,26000,file-tai-lieu_0226.webp
227,File tài liệu,1,FILE còng bật Eagle 5F- EK( Loại 2),Việt nam,5F,chiếc,27500,
228,File tài liệu,2,FILE còng bật Eagle 7F- EK( Loại 2),Việt nam,7F,chiếc,27500,
229,File tài liệu,3,FILE còng bật Eagle 5F- EK( Loại 1),Việt nam,5F,chiếc,30000,
230,File tài liệu,4,FILE còng bật Eagle 7F- EK( Loại 1),Việt nam,7F,chiếc,35000,
231,File tài liệu,5,FILE còng bật Eagle 9F- EK( Loại 1),Việt nam,9F,chiếc,40000,
232,File tài liệu,6,File còng bật Eagel 5F- A3 EK,Việt nam,5F,chiếc,52500,
233,File tài liệu,7,File còng bật Eagel 7F- A3 EK,Việt nam,7F,chiếc,52500,file-tai-lieu_0233.webp
234,File tài liệu,8,File còng bật Eagel 5F KOKUYO( Khổ F),Việt Nhật,5F,chiếc,57500,
235,File tài liệu,9,File còng bật Eagle 7F KOKUYO ( Khổ F),Việt Nhật,7F,chiếc,57500,
236,File tài liệu,10,File còng bật Eagel 5F KOKUYO( Khổ A),Việt Nhật,5F,chiếc,56500,
237,File tài liệu,11,File còng bật Eagle 7F KOKUYO ( Khổ A),Việt Nhật,7F,chiếc,56500,
238,File tài liệu,12,"File còng bật Eagle 9F KOKUYO ( Khổ A,F)",Việt Nhật,9F,cái,75000,
239,File tài liệu,13,"File còng bật Eagle 5F Plus (Khổ A, F)",Việt Nhật,5F,chiếc,52000,file-tai-lieu_0239.webp
240,File tài liệu,14,"File còng bật Eagel 7F Plus (Khổ A, F)",Việt Nhật,7F,chiếc,57000,
241,File tài liệu,15,"File còng bật Eagel 9F Plus (Khổ A, F)",Việt Nhật,9F,chiếc,72500,
242,File tài liệu,16,"File còng bật Eagel 7F Kingjim (Khổ A, F)",Việt Nhật,7F,chiếc,48000,
243,File tài liệu,17,"File còng bật Eagel 5F Kingjim (Khổ A, F)",Việt Nhật,5F,chiếc,48000,file-tai-lieu_0243.webp
244,File tài liệu,18,"File còng bật Eagel 9F Kingjim (Khổ A, F)",Việt Nhật,9F,chiếc,67000,
245,File tài liệu,1,File còng nhẫn 3.5F- bìa xi xanh,Việt nam,3.5F,chiếc,21000,file-tai-lieu_0245.webp
246,File tài liệu,2,FILE còng nhẫn 4F - 2 còng(bọc nilon xanh- trắng),Việt nam,3F,chiếc,25000,
247,File tài liệu,3,FILE còng nhẫn 5F - 2 còng(bọc nilon xanh- trắng),Việt nam,5F,chiếc,28000,file-tai-lieu_0247.webp
248,File tài liệu,4,FILE còng nhẫn 7F - 2 còng( bọc nilon xanh- trắng),Việt nam,7F,chiếc,32000,file-tai-lieu_0248.webp
249,File tài liệu,5,File còng nhẫn 10F - 2 còng( bọc nilon xanh- trắng),Việt nam,10F,chiếc,41000,file-tai-lieu_0249.webp
250,File tài liệu,6,File 2 còng bìa nhựa RB3302A,Trung Quốc,1.5F,chiếc,17500,
251,File tài liệu,7,"File 2 còng bìa nhựa 3,5F - TC532A",Trung Quốc,3F,chiếc,20500,file-tai-lieu_0251.webp
252,File tài liệu,8,File 2 còng nhẫn bìa nhựa 3F Deli 5382,Đài Loan,"2,5F",chiếc,50000,
253,File tài liệu,9,File 2 còng nhẫn bìa nhựa 4F Deli 5387,Đài Loan,4F,chiếc,65000,file-tai-lieu_0253.webp
254,File tài liệu,10,File 2 còng nhẫn D-Ring- Plus bìa nhựa các màu,Việt- nhật,3F,chiếc,42000,
255,File tài liệu,1,File còng ống Kingjim A4 1473 (3cm),Việt- nhật,3F,chiếc,73000,
256,File tài liệu,2,File còng ống Kingjim A4 1475 (5cm),Việt- nhật,5F,chiếc,79000,
257,File tài liệu,3,File còng ống Kingjim A4 1478 (8cm),Việt- nhật,8F,chiếc,90000,file-tai-lieu_0257.webp
258,File tài liệu,4,File còng ống Kingzim 1470 (10cm),Việt- nhật,10F,chiếc,100000,
259,File tài liệu,5,File còng ống Kingjim 3513(13cm),Việt- nhật,13F,chiếc,170000,
260,File tài liệu,6,File còng ống Kingzim 3515 (15cm),Việt- nhật,15F,chiếc,180000,
261,File tài liệu,7,File còng ống Kingjim A3 1503 (3cm),Việt- nhật,3F,chiếc,205000,
262,File tài liệu,8,File còng ống Kingjim A3 1505 (5cm),Việt- nhật,5F,chiếc,225000,file-tai-lieu_0262.webp
263,File tài liệu,2,FILE hộp dán 7F- EK-Loại 1,Việt nam,7F,chiếc,29500,
264,File tài liệu,3,FILE hộp dán 10F -EK Loại 1,Việt nam,10F,chiếc,34000,
265,File tài liệu,4,FILE hộp dán 15F- EK Loại 1,Việt nam,15F,chiếc,39500,
266,File tài liệu,5,FILE hộp dán 20F- EK Loại 1,Việt nam,20F,chiếc,46000,
267,File tài liệu,6,FILE hộp dán 25F- EK Loại 1,Việt nam,25F,chiếc,58500,file-tai-lieu_0267.webp
268,File tài liệu,7,FILE hộp dán 30F- EK Loại 1,Việt nam,30F,chiếc,67000,
269,File tài liệu,8,File hộp dán 5F Hyphen HP 045,Việt nam,5F,chiếc,30000,
270,File tài liệu,9,File hộp dán 7F Hyphen HP 246,Việt nam,7F,chiếc,32500,
271,File tài liệu,10,File hộp dán 10F Hyphen HP 047,Việt nam,10F,chiếc,40000,
272,File tài liệu,11,File hộp dán 15F Hyphen HP 048,Việt nam,15F,chiếc,46500,file-tai-lieu_0272.webp
273,File tài liệu,12,File hộp dán 20F Hyphen HP 050,Việt nam,20F,chiếc,57500,file-tai-lieu_0273.webp
274,File tài liệu,1,FILE vát 1 ngăn xanh,Việt nam,1 ngăn,chiếc,23000,file-tai-lieu_0274.webp
275,File tài liệu,2,File nan 3 ngăn đứng HR312,Việt nam,3 ngăn,chiếc,35000,file-tai-lieu_0275.webp
276,File tài liệu,3,File nan 3 ngăn đứng Comix 2173,Đài Loan,3 ngăn,chiếc,90000,file-tai-lieu_0276.webp
277,File tài liệu,4,File nan 3 ngăn đứng Deli 9845,Đài Loan,3 ngăn,chiếc,90000,file-tai-lieu_0277.webp
278,File tài liệu,5,File nan 3 ngăn lưới sắt Sunwood SW1220,Đài Loan,3 ngăn,chiếc,275000,file-tai-lieu_0278.webp
279,File tài liệu,6,File nan 4 ngăn đứng Deli 9846,Đài Loan,4 ngăn,chiếc,110000,file-tai-lieu_0279.webp
280,File tài liệu,7,File nan 5 ngăn đứng Deli 9838,Đài Loan,5 ngăn,chiếc,140000,
281,File tài liệu,1,FILE trình ký A4 bìa xi 2 mặt EK loại 2,Việt nam,Khổ A4,chiếc,16500,file-tai-lieu_0281.webp
282,File tài liệu,2,FILE trình ký A4 bìa xi 2 mặt EK loại 1 (6002 Trình ký),Trung Quốc,Khổ A4,chiếc,22000,
283,File tài liệu,3,File trình ký da A4 2 mặt LTW-092,Trung Quốc,Khổ A4,chiếc,35000,
284,File tài liệu,4,File trình ký da A4 2 mặt XF8002,Trung Quốc,Khổ A4,chiếc,75000,file-tai-lieu_0284.webp
285,File tài liệu,5,File trình ký A5 nhựa 1 mặt S820,Đài Loan,Khổ A5,chiếc,16500,file-tai-lieu_0285.webp
286,File tài liệu,6,File trình ký A4 nhựa 1 mặt S4610,Đài Loan,Khổ A4,chiếc,24000,file-tai-lieu_0286.webp
287,File tài liệu,7,File trình ký A4 nhựa 1 mặt Deli 9256,Đài Loan,Khổ A4,chiếc,70000,file-tai-lieu_0287.webp
288,File tài liệu,8,File trình ký A4 nhựa 2 mặt thiên long FO-CB03,Việt nam,Khổ A4,chiếc,30000,file-tai-lieu_0288.webp
289,File tài liệu,9,File trình ký A4 nhựa 2 mặt Deli 5440,Đài Loan,Khổ A4,chiếc,70000,
290,File tài liệu,10,File trình ký A4 nhựa 2 mặt Deli 5545,Đài Loan,Khổ A4,chiếc,105000,file-tai-lieu_0290.webp
291,File tài liệu,1,File bìa giấy 021N Plus,Việt Nhật,Khổ A,chiếc,9000,file-tai-lieu_0291.webp
292,File tài liệu,2,"FLLE treo các màu khổ A, F",Đài Loan,Khổ F,chiếc,10000,file-tai-lieu_0292.webp
293,File tài liệu,3,File Plus 10 lá,Việt Nhật,Khổ A,chiếc,25000,
294,File tài liệu,4,File Plus 20 lá,Việt Nhật,Khổ A,chiếc,36000,
295,File tài liệu,5,File Plus 40 lá,Việt Nhật,Khổ A,chiếc,58000,file-tai-lieu_0295.webp
296,File tài liệu,6,File Plus 60 lá,Việt Nhật,Khổ A,chiếc,75000,file-tai-lieu_0296.webp
297,File tài liệu,7,File Plus 80 lá,Việt Nhật,Khổ A,chiếc,101000,
298,File tài liệu,8,File 100 lá Deli 5200- Có hộp,Trung Quốc,Khổ A,chiếc,130000,file-tai-lieu_0298.webp
299,File tài liệu,9,File E355 Plus 161 Khổ A,Việt Nhật,Khổ A,chiếc,2700,file-tai-lieu_0299.webp
300,File tài liệu,10,File E355 Plus 171 Khổ F,Việt Nhật,Khổ F,chiếc,2800,file-tai-lieu_0300.webp
301,File tài liệu,11,File xâu tài liệu Xifu QW325( 10 chiếc/ tập),Đài Loan,Khổ A,chiếc,6000,
302,File tài liệu,12,File QW 325 Gáy có lỗ Flex office( 10 chiếc/ tập),Việt nam,Khổ A,chiếc,6000,file-tai-lieu_0302.webp
303,File tài liệu,13,File xâu tài liệu Shuter QW325,Đài Loan,Khổ A,chiếc,13000,
304,File tài liệu,14,File xâu tài liệu Plus 808.101RT,Việt nhật,Khổ A,chiếc,12500,file-tai-lieu_0304.webp
305,File tài liệu,15,File rút gáy thường Q310( gáy nhỏ),Việt nam,Khổ A,chiếc,3000,file-tai-lieu_0305.webp
306,File tài liệu,16,File rút gáy thường Q310( gáy to),Việt nam,Khổ A,chiếc,4000,file-tai-lieu_0306.webp
307,File tài liệu,17,File rút gáy thường Q311dày ( 1mặt sần),Trung Quốc,Khổ A,chiếc,5000,
308,File tài liệu,18,File rút gáy 10 tờ A4 Deli 5530,Trung Quốc,Khổ A,chiếc,10000,file-tai-lieu_0308.webp
309,File tài liệu,19,File chốt gáy QW 324- Trung Quốc,Trung Quốc,Khổ A,chiếc,5000,file-tai-lieu_0309.webp
310,File tài liệu,1,File 3 dây bìa giấy bìa hoa 10F- dày đẹp,Việt nam,Khổ F,chiếc,14000,file-tai-lieu_0310.webp
311,File tài liệu,2,File 3 dây bìa giấy bìa hoa 15F- dày đẹp,Việt nam,Khổ F,chiếc,16000,file-tai-lieu_0311.webp
312,File tài liệu,3,File 3 dây gáy gấp bìa xi 7F,Việt nam,Khổ F,chiếc,18000,
313,File tài liệu,4,File 3 dây gáy gấp bìa xi 10F,Việt nam,Khổ F,chiếc,19000,
314,File tài liệu,5,File 3 dây gáy cứng 7F bìa xi,Việt nam,Khổ F,chiếc,20000,
315,"keo, băng dính",1,Băng dính 5F trong- đục - 1 kg/ cây/ 6 cuộn,Việt nam,1 kg/ cây,cuộn,13500,keo-bang-dinh_0315.webp
316,"keo, băng dính",2,Băng dính 4.8cm *200y,Việt nam,2.1 kg/ cây,cuộn,27000,keo-bang-dinh_0316.webp
317,"keo, băng dính",3,Băng dính 5F trong- đục - 6 kg/ cây/ 6 cuộn,Việt nam,6 kg/ cây,cuộn,68000,keo-bang-dinh_0317.webp
318,"keo, băng dính",4,Băng dính trong VP nhỏ 1F (dày),Việt nam,1F,cuộn,2500,keo-bang-dinh_0318.webp
319,"keo, băng dính",5,Băng dính trong VP nhỏ 2F(dày),Việt nam,2F,cuộn,3000,keo-bang-dinh_0319.webp
320,"keo, băng dính",6,"Băng dính Simily 3,6cm - 5m",Việt nam,"3,6F",cuộn,6000,keo-bang-dinh_0320.webp
321,"keo, băng dính",7,Băng dính SIMILY 4.8 cm*5m,Việt nam,5F,cuộn,7500,
322,"keo, băng dính",8,Băng dính SIMILY 7F - 5M,Việt nam,7F,cuộn,11000,
323,"keo, băng dính",9,"Băng dính Simily 3,6cm - 16 m",Việt nam,7F,cuộn,14500,keo-bang-dinh_0323.webp
324,"keo, băng dính",10,Băng dính SIMILY 4.8 cm*16 m,Việt nam,7F,cuộn,19000,
325,"keo, băng dính",11,Băng dính simily 7 cm * 16 m,Việt nam,7F,cuộn,27000,keo-bang-dinh_0325.webp
326,"keo, băng dính",12,Băng dính 2 mặt 1F - 7M,Việt nam,7m/ cuộn,cuộn,2000,
327,"keo, băng dính",13,"Băng dính 2 mặt 1,5F - 7M",Việt nam,7m/ cuộn,cuộn,2500,
328,"keo, băng dính",14,Băng dính 2 mặt 2F- 7M,Việt nam,7m/ cuộn,cuộn,3000,
329,"keo, băng dính",15,"Băng dính 2 mặt 2,5F - 7M",Việt nam,7m/ cuộn,cuộn,3500,keo-bang-dinh_0329.webp
330,"keo, băng dính",16,Băng dính 2 mặt 5F - 7M,Việt nam,7m/ cuộn,cuộn,7000,
331,"keo, băng dính",17,Băng dính giấy 1F- 7M,Việt nam,1F,cuộn,2000,
332,"keo, băng dính",18,Băng dính giấy 1.5F-7M,Việt nam,"1,5F",cuộn,2500,
333,"keo, băng dính",19,Băng dính giấy 2F-7M,Việt nam,2F,cuộn,3000,keo-bang-dinh_0333.webp
334,"keo, băng dính",20,"Băng dính giấy 2,5F-7M",Việt nam,"2,5F",cuộn,3500,
335,"keo, băng dính",21,Băng dính giấy 5F-7M,Việt nam,5F,cuộn,7000,keo-bang-dinh_0335.webp
336,"keo, băng dính",22,Băng dính điện nhỏ 10Y,Việt nam,2F,cuộn,5000,
337,"keo, băng dính",23,Băng dính điện nhỏ 20Y,Việt nam,2F,cuộn,8500,
338,"keo, băng dính",24,Băng dính xốp 2F- vàng,Việt nam,2F,cuộn,10000,keo-bang-dinh_0338.webp
339,"keo, băng dính",25,Băng dính xốp 2.5F- vàng,Việt nam,2F,cuộn,11000,
340,"keo, băng dính",26,Băng dính xốp 5F- vàng,Việt nam,5F,cuộn,18000,
341,"keo, băng dính",27,Băng dính xốp 2F- xanh,Việt nam,2F,cuộn,10000,keo-bang-dinh_0341.webp
342,"keo, băng dính",28,Băng dính xốp 2.5F- xanh,Việt nam,2F,cuộn,11000,keo-bang-dinh_0342.webp
343,"keo, băng dính",29,Băng dính xốp 5F- xanh,Việt nam,5F,cuộn,18000,keo-bang-dinh_0343.webp
344,"keo, băng dính",30,Cắt băng dính VP 2F Dân hoa- 2001,Việt nam,2F,chiếc,17000,keo-bang-dinh_0344.webp
345,"keo, băng dính",31,Cắt băng dính VP 2F Deli 811,Đài Loan,2F,chiếc,32000,keo-bang-dinh_0345.webp
346,"keo, băng dính",32,Cắt băng dính lõi to VP 2F- 2002,Việt nam,2F,chiếc,50000,keo-bang-dinh_0346.webp
347,"keo, băng dính",33,Cắt băng sắt Dân hoa 5F,Việt nam,5F,chiếc,35000,keo-bang-dinh_0347.webp
348,"keo, băng dính",34,Cắt băng dính 5F nhựa Deli - 801,Đài Loan,5F,chiếc,50000,
349,"keo, băng dính",35,Cắt băng dính 5F sắt Deli 823,Đài Loan,5F,chiếc,54000,keo-bang-dinh_0349.webp
350,"keo, băng dính",36,Cắt băng sắt Dân hoa 5F- 200Y,Việt nam,5F,chiếc,40000,keo-bang-dinh_0350.webp
351,"keo, băng dính",1,Hồ khô Thiên Long G-014,Việt nam,08 gam,Lọ,7000,keo-bang-dinh_0351.webp
352,"keo, băng dính",2,Hồ nước G08 Thiên Long 30ml,Việt nam,30 ml,Lọ,4000,keo-bang-dinh_0352.webp
353,"keo, băng dính",3,Hồ khô Staedtler 920108 - loại 8g,Đức,08 gam,Lọ,15500,keo-bang-dinh_0353.webp
354,"keo, băng dính",5,Hồ khô Deli A200- 8g,Trung Quốc,08 gram,Lọ,6000,keo-bang-dinh_0354.webp
355,"keo, băng dính",6,Hồ khô Staedtler 920122 - loại 22g,Đức,22 gam,Lọ,34000,
356,"keo, băng dính",7,Keo 502,Việt nam,50 ml,Lọ,7000,
357,Dập ghim,1,Dập ghim số 10 Plus PS-10E(không ghim),Việt Nhật,15 tờ,chiếc,36000,dap-ghim_0357.webp
358,Dập ghim,2,Dập ghim số 10 Deli 238 ( 15 tờ),Đài Loan,15 tờ,chiếc,31000,dap-ghim_0358.webp
359,Dập ghim,3,Dập ghim số 10 Deli 221 ( 15 tờ),Đài Loan,15 tờ,chiếc,34000,dap-ghim_0359.webp
360,Dập ghim,4,Dập ghim số 10 Deli 229 ( 15 tờ),Đài Loan,15 tờ,chiếc,38000,dap-ghim_0360.webp
361,Dập ghim,5,Dập ghim số 3 xoay chiều Deli 0414,Đài Loan,30 tờ,chiếc,75000,dap-ghim_0361.webp
362,Dập ghim,7,Dập ghim Deli 0391( 60 tờ),Đài Loan,60 tờ,chiếc,210000,dap-ghim_0362.webp
363,Dập ghim,8,Dập ghim Deli 394 ( 80 tờ),Đài Loan,80 tờ,chiếc,315000,dap-ghim_0363.webp
364,Dập ghim,9,Dập ghim KW-trio 50SA- Loại 1,Đài Loan,100 Trang,chiếc,320000,dap-ghim_0364.webp
365,Dập ghim,10,Dập ghim KW-triO 50LA- Loại 1,Đài Loan,210 Trang,chiếc,550000,dap-ghim_0365.webp
366,Dập ghim,11,Dập ghim Deli 385 (210 tờ),Đài Loan,210 Trang,chiếc,650000,dap-ghim_0366.webp
367,Dập ghim,12,Dập ghim Deli 0395- 240 Tờ,Đài Loan,240 Trang,chiếc,580000,dap-ghim_0367.webp
368,Dập ghim,1,Ghim dập số 10 Plus,Việt Nhật,15 tờ,hộp,3600,dap-ghim_0368.webp
369,Dập ghim,2,Ghim dập KW-TRIO số 10,Đài Loan,15 tờ,hộp,3000,dap-ghim_0369.webp
370,Dập ghim,3,Ghim dập KW-TRIO-24/6,Đài Loan,30 tờ,hộp,5500,dap-ghim_0370.webp
371,Dập ghim,4,Ghim dập KW TRIO-23/8,Đài Loan,50 tờ,hộp,15000,dap-ghim_0371.webp
372,Dập ghim,5,Ghim dập KWTRIO-23/10,Đài Loan,70 tờ,hộp,17000,dap-ghim_0372.webp
373,Dập ghim,6,Ghim dập KWTRIO-23/13,Đài Loan,100 tờ,hộp,18500,
374,Dập ghim,7,Ghim dập KWTRIO-23/15,Đài Loan,120 tờ,hộp,23000,
375,Dập ghim,8,Ghim dập KW-TRIO23/17,Đài Loan,140 tờ,hộp,25500,
376,Dập ghim,9,Ghim dập KW-TRIO-23/20,Đài Loan,170 tờ,hộp,26000,
377,Dập ghim,10,Ghim dập KW-TRIO-23/23,Đài Loan,200 tờ,hộp,33000,dap-ghim_0377.webp
378,Dập ghim,11,Ghim dập KW-TRIO-23/24,Đài Loan,210 tờ,hộp,53500,dap-ghim_0378.webp
379,Dập ghim,1,Nhổ ghim Deli 0232,Đài Loan,15 tờ,chiếc,17000,dap-ghim_0379.webp
380,Dập ghim,2,Nhổ ghim KW- TriO 508B- Số 10,Đài Loan,15 tờ,chiếc,9500,dap-ghim_0380.webp
381,Dập ghim,3,Nhổ ghim KW- TriO 5093,Đài Loan,200 tờ,chiếc,80000,dap-ghim_0381.webp
382,Dập ghim,1,Ghim cài tam giác C62- Batos,Việt nam,100 c/hộp,hộp,4500,dap-ghim_0382.webp
383,Dập ghim,2,Ghim vòng C32,Trung Quốc,100 c/hộp,hộp,4000,dap-ghim_0383.webp
384,Dập ghim,3,Ghim vòng C82,Trung Quốc,100 c/hộp,hộp,5000,dap-ghim_0384.webp
385,Dập ghim,4,Ghim vòng nhựa 0024,Đài loan,100c/ hộp,hộp,11000,dap-ghim_0385.webp
386,Dập ghim,5,Đinh ghim mũ nhựa 0021 Deli,Đài loan,35 c/hộp,hộp,12500,dap-ghim_0386.webp
387,Dập ghim,6,Hộp đựng nghim nam châm Deli N0.9881,Đài loan,6 chiếc/ lốc,chiếc,23000,dap-ghim_0387.webp
388,Dập ghim,7,Hộp đựng nghim nam châm Deli N0.0988,Đài loan,6 chiếc/ lốc,chiếc,21000,dap-ghim_0388.webp
389,Dập ghim,1,Khoá Acco nhựa 8CM Fastener,Trung Quốc,50 pcs,hộp,16000,dap-ghim_0389.webp
390,Dập ghim,2,Khoá Acco sắt 8Cm,Trung Quốc,50 pcs,hộp,21500,dap-ghim_0390.webp
391,Dập ghim,3,Khoá Acco nhựa Deli 5548,Đài Loan,50 pcs,hộp,37000,
392,Dập ghim,4,Nẹp acco sắt Deli 5549,Đài Loan,50 pcs,hộp,50000,
393,"Mực,con dấu",1,Mực dấu Shiny S- 63/62( Chính hãng),Nhật,"đỏ, xanh",lọ,52000,muc-con-dau_0393.webp
394,"Mực,con dấu",1,Dấu sao y bản chính S852 Shiny,Việt nam,loại tốt,chiếc,90000,muc-con-dau_0394.webp
395,"Mực,con dấu",2,Dấu bán hàng qua điện thoại S852 Shiny,Việt nam,loại tốt,chiếc,90000,muc-con-dau_0395.webp
396,"Mực,con dấu",3,Dấu bán Đã thanh toán S852 Shiny,Việt nam,loại tốt,chiếc,90000,muc-con-dau_0396.webp
397,"Mực,con dấu",4,Dấu chức danh S852 Shiny,Việt nam,loại tốt,chiếc,90000,muc-con-dau_0397.webp
398,"Mực,con dấu",5,Dấu chức danh S853 Shiny,Việt nam,loại tốt,chiếc,110000,muc-con-dau_0398.webp
399,"Mực,con dấu",6,Dấu chức danh S854 Shiny,Việt nam,loại tốt,chiếc,130000,
400,Dao Kéo,1,Dao trổ SDI-0404 nhỏ,Đài Loan,3 lưỡi,chiếc,12000,dao-keo_0400.webp
401,Dao Kéo,2,Dao trổ SDI 0423/E103 to,Đài Loan,3 lưỡi,chiếc,16000,dao-keo_0401.webp
402,Dao Kéo,3,Dao trổ Deli 2053 bằng sắt nhỏ,Đài Loan,1 lưỡi,chiếc,13000,dao-keo_0402.webp
403,Dao Kéo,4,Dao trổ Deli 2031- 3 lưỡi,Đài Loan,3 lưỡi,chiếc,18000,dao-keo_0403.webp
404,Dao Kéo,5,Dao trổ to Deli 2064,Đài Loan,3 lưỡi,chiếc,42000,dao-keo_0404.webp
